dataset_name,run_mode,feature_set,experiment_name,window_type,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy,module_name
walmart,quick,history_only,context_robustness,all,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,0.476,0.0,0.999,-0.059,0.0,1,8,1,oracle_realized_demand,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.008,0.355,1.058,0.0,0.059,2,1,2,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.05,0.0,1.15,0.092,0.151,3,7,3,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.021,0.025,1.171,0.113,0.172,5,3,4,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.021,0.053,1.191,0.133,0.192,4,2,5,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.025,0.0,1.232,0.174,0.233,8,5,6,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.023,0.047,1.235,0.177,0.236,6,4,7,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.03,0.0,1.235,0.177,0.236,7,6,8,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.048,0.355,1.098,0.0,-2.448,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.134,0.025,1.284,0.186,-2.263,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.133,0.053,1.303,0.205,-2.243,4,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.143,0.047,1.355,0.257,-2.191,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.157,0.0,1.364,0.266,-2.182,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.189,0.0,1.394,0.296,-2.152,7,6,6,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.318,0.0,1.418,0.319,-2.129,3,7,7,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,3.024,0.0,3.547,2.448,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.049,0.355,1.1,0.0,-2.528,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.138,0.025,1.287,0.188,-2.34,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.137,0.053,1.307,0.207,-2.321,4,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.147,0.047,1.359,0.259,-2.269,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.161,0.0,1.369,0.269,-2.259,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.194,0.0,1.399,0.3,-2.228,7,6,6,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.326,0.0,1.426,0.327,-2.202,3,7,7,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,3.105,0.0,3.628,2.528,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.052,0.355,1.102,0.0,-2.664,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.144,0.025,1.294,0.192,-2.472,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.143,0.053,1.313,0.211,-2.452,4,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.154,0.047,1.366,0.264,-2.4,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.168,0.0,1.376,0.274,-2.39,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.203,0.0,1.408,0.306,-2.357,7,6,6,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.341,0.0,1.441,0.339,-2.325,3,7,7,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,3.243,0.0,3.765,2.664,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.076,0.355,1.126,0.0,-4.161,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.212,0.025,1.361,0.235,-3.926,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.21,0.053,1.38,0.254,-3.907,4,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.226,0.047,1.438,0.312,-3.849,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.247,0.0,1.455,0.329,-3.832,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.298,0.0,1.503,0.377,-3.784,7,6,6,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.5,0.0,1.6,0.474,-3.687,3,7,7,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,4.764,0.0,5.287,4.161,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.011,0.392,1.116,0.0,-0.107,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.05,0.0,1.15,0.034,-0.073,4,7,2,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.03,0.028,1.182,0.065,-0.041,5,3,3,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.03,0.052,1.202,0.086,-0.021,3,2,4,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,0.677,0.0,1.223,0.107,0.0,1,8,5,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.032,0.048,1.228,0.112,0.006,6,4,6,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.033,0.0,1.253,0.137,0.03,8,5,7,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.041,0.0,1.258,0.142,0.036,7,6,8,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.069,0.392,1.174,0.0,-3.671,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.19,0.028,1.342,0.168,-3.503,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.19,0.052,1.361,0.187,-3.483,3,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.2,0.048,1.397,0.223,-3.447,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.318,0.0,1.418,0.243,-3.427,4,7,5,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.208,0.0,1.429,0.254,-3.416,8,5,6,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.258,0.0,1.476,0.301,-3.369,7,6,7,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,4.299,0.0,4.845,3.671,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.071,0.392,1.176,0.0,-3.784,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.196,0.028,1.347,0.171,-3.613,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.195,0.052,1.366,0.19,-3.594,3,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.206,0.048,1.403,0.227,-3.557,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.326,0.0,1.426,0.25,-3.534,4,7,5,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.214,0.0,1.434,0.258,-3.526,8,5,6,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.265,0.0,1.483,0.306,-3.478,7,6,7,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,4.414,0.0,4.96,3.784,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.074,0.392,1.179,0.0,-3.976,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.204,0.028,1.356,0.177,-3.8,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.203,0.052,1.375,0.196,-3.781,3,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.215,0.048,1.412,0.233,-3.744,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.341,0.0,1.441,0.261,-3.715,4,7,5,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.224,0.0,1.444,0.264,-3.712,8,5,6,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.276,0.0,1.494,0.315,-3.661,7,6,7,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,4.61,0.0,5.156,3.976,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.109,0.392,1.214,0.0,-6.104,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.3,0.028,1.452,0.238,-5.867,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.299,0.052,1.47,0.257,-5.848,3,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.316,0.048,1.513,0.299,-5.806,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.328,0.0,1.549,0.335,-5.77,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.5,0.0,1.6,0.386,-5.718,4,7,6,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.406,0.0,1.624,0.41,-5.694,7,6,7,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,6.772,0.0,7.318,6.104,0.0,1,8,8,oracle_realized_demand,context_robustness
