dataset_name,run_mode,feature_set,experiment_name,window_type,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy,module_name
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,7882543.969,100.331,11347.603,0.017,1309,1.949,0.6,0.107,0.017,0.328,1.052,0.0,-0.101,2,1,1,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,4115833.731,194.115,422645.826,0.123,0,5.459,0.313,0.207,0.632,0.0,1.152,0.101,0.0,1,8,2,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Budgeted DP,True,none,False,none,none,0.058,13550293.578,76.851,32374.772,0.011,102,4.143,1.031,0.082,0.048,0.026,1.187,0.135,0.035,5,4,3,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Global Best,True,none,False,none,none,0.057,13141862.485,93.868,66845.875,0.036,0,3.912,1.0,0.1,0.1,0.0,1.2,0.148,0.048,3,7,4,global_best_model,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,DP Feasibility,True,none,False,none,none,0.057,13405197.135,77.169,32123.493,0.009,213,4.143,1.02,0.082,0.048,0.053,1.204,0.152,0.051,4,3,5,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Operational Ensemble,True,none,False,none,none,0.061,14722668.539,69.087,30977.986,0.021,0,3.119,1.12,0.074,0.046,0.0,1.24,0.188,0.088,8,2,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Simple Ensemble,True,none,False,none,none,0.06,14487117.04,81.613,35526.693,0.026,0,3.439,1.102,0.087,0.053,0.0,1.242,0.191,0.09,7,6,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Greedy Feasibility,True,none,False,none,none,0.059,14063617.514,83.588,34606.282,0.013,186,4.143,1.07,0.089,0.052,0.047,1.258,0.206,0.105,6,5,8,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Budgeted DP,True,none,False,none,none,0.071,2526532.541,9.084,165.498,0.005,9,1.542,1.049,0.109,0.003,0.026,1.186,-0.046,-2.988,5,2,1,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Global Best,True,none,False,none,none,0.069,2409172.941,8.35,5554.443,0.015,0,0.596,1.0,0.1,0.1,0.0,1.2,-0.032,-2.974,3,7,2,global_best_model,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Greedy Feasibility,True,none,False,none,none,0.071,2544462.226,9.379,165.498,0.005,16,1.542,1.056,0.112,0.003,0.046,1.217,-0.015,-2.957,6,2,3,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,DP Feasibility,True,none,False,none,none,0.071,2538515.091,8.972,165.498,0.005,19,1.542,1.054,0.107,0.003,0.054,1.218,-0.014,-2.955,4,2,4,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.049,1498825.205,12.5,6.693,0.015,161,0.305,0.622,0.15,0.0,0.46,1.232,0.0,-2.942,2,1,5,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Operational Ensemble,True,none,False,none,none,0.075,2898220.998,6.271,3248.052,0.02,0,0.5,1.203,0.075,0.058,0.0,1.337,0.105,-2.837,7,5,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Simple Ensemble,True,none,False,none,none,0.076,2913711.016,7.524,3985.786,0.02,0,0.571,1.209,0.09,0.072,0.0,1.371,0.139,-2.802,8,6,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,471152.918,29.455,201373.427,0.197,0,2.337,0.196,0.353,3.625,0.0,4.174,2.942,0.0,1,8,8,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.034,2810027.581,22.737,769.532,0.006,373,1.363,0.537,0.116,0.01,0.46,1.124,0.0,-1.258,2,1,1,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Global Best,True,none,False,none,none,0.053,5230508.992,19.574,7686.896,0.02,0,1.363,1.0,0.1,0.1,0.0,1.2,0.076,-1.181,3,6,2,global_best_model,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Budgeted DP,True,none,False,none,none,0.054,5489217.13,22.25,1519.096,0.009,21,2.383,1.049,0.114,0.02,0.026,1.209,0.085,-1.173,5,3,3,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,DP Feasibility,True,none,False,none,none,0.054,5473900.394,22.601,1519.319,0.011,41,2.383,1.047,0.115,0.02,0.051,1.232,0.108,-1.149,4,4,4,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Greedy Feasibility,True,none,False,none,none,0.055,5666680.051,23.674,1515.175,0.009,40,2.383,1.083,0.121,0.02,0.049,1.273,0.15,-1.108,7,2,5,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Operational Ensemble,True,none,False,none,none,0.055,5902660.054,16.391,5420.401,0.017,0,1.681,1.129,0.084,0.071,0.0,1.283,0.159,-1.099,8,5,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Simple Ensemble,True,none,False,none,none,0.055,5813318.384,19.62,8289.496,0.02,0,1.781,1.111,0.1,0.108,0.0,1.319,0.196,-1.062,6,7,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,1703808.794,43.839,140802.552,0.063,0,2.337,0.326,0.224,1.832,0.0,2.381,1.258,0.0,1,8,8,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday_or_markdown,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.037,3988637.537,33.627,776.224,0.009,503,1.363,0.557,0.126,0.006,0.449,1.137,0.0,-1.974,2,1,1,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday_or_markdown,baseline,Budgeted DP,True,none,False,none,none,0.058,7495733.405,28.828,1519.096,0.007,28,2.383,1.046,0.108,0.011,0.025,1.19,0.053,-1.921,5,3,2,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday_or_markdown,baseline,Global Best,True,none,False,none,none,0.057,7166517.663,26.749,13241.339,0.02,0,1.363,1.0,0.1,0.1,0.0,1.2,0.063,-1.912,3,7,3,global_best_model,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday_or_markdown,baseline,DP Feasibility,True,none,False,none,none,0.058,7487157.647,29.107,1519.319,0.009,58,2.383,1.045,0.109,0.011,0.052,1.217,0.08,-1.895,4,4,4,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday_or_markdown,baseline,Greedy Feasibility,True,none,False,none,none,0.059,7673529.074,30.578,1515.175,0.007,54,2.383,1.071,0.114,0.011,0.048,1.245,0.107,-1.867,6,2,5,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday_or_markdown,baseline,Operational Ensemble,True,none,False,none,none,0.06,8270784.503,21.488,8630.769,0.017,0,1.681,1.154,0.08,0.065,0.0,1.3,0.162,-1.812,8,5,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday_or_markdown,baseline,Simple Ensemble,True,none,False,none,none,0.06,8179245.384,25.645,12224.613,0.02,0,1.781,1.141,0.096,0.092,0.0,1.33,0.192,-1.782,7,6,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday_or_markdown,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,2088018.438,67.527,340007.772,0.094,0,2.337,0.291,0.252,2.568,0.0,3.112,1.974,0.0,1,8,8,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,normal,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,7886177.095,99.713,11333.473,0.016,1310,1.949,0.598,0.119,0.026,0.376,1.12,0.0,-0.384,2,1,1,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,normal,baseline,Global Best,True,none,False,none,none,0.057,13187821.306,83.513,44093.445,0.031,0,3.111,1.0,0.1,0.1,0.0,1.2,0.08,-0.303,4,7,2,global_best_model,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,normal,baseline,Budgeted DP,True,none,False,none,none,0.058,13459541.162,73.973,32276.944,0.01,94,4.143,1.021,0.089,0.073,0.027,1.209,0.09,-0.294,5,4,3,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,normal,baseline,DP Feasibility,True,none,False,none,none,0.057,13343417.02,75.32,32100.649,0.008,178,4.143,1.012,0.09,0.073,0.051,1.226,0.106,-0.277,3,3,4,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,normal,baseline,Greedy Feasibility,True,none,False,none,none,0.058,13745633.215,81.622,34053.652,0.012,170,4.143,1.042,0.098,0.077,0.049,1.266,0.147,-0.237,6,6,5,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,normal,baseline,Operational Ensemble,True,none,False,none,none,0.062,14824252.681,64.275,28925.468,0.018,0,2.856,1.124,0.077,0.066,0.0,1.267,0.147,-0.236,8,2,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,normal,baseline,Simple Ensemble,True,none,False,none,none,0.06,14526906.431,79.037,33649.601,0.026,0,3.272,1.102,0.095,0.076,0.0,1.272,0.153,-0.231,7,5,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,normal,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,4115833.731,194.115,422645.826,0.123,0,5.459,0.312,0.232,0.959,0.0,1.503,0.384,0.0,1,8,8,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday,baseline,Budgeted DP,True,none,False,none,none,0.068,2381644.177,8.621,165.498,0.005,7,1.542,1.068,0.106,0.003,0.02,1.196,-0.15,-2.862,5,1,1,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday,baseline,Global Best,True,none,False,none,none,0.067,2230000.598,8.17,5775.458,0.02,0,0.592,1.0,0.1,0.1,0.0,1.2,-0.146,-2.859,3,7,2,global_best_model,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday,baseline,Greedy Feasibility,True,none,False,none,none,0.068,2375248.472,9.233,165.498,0.005,16,1.542,1.065,0.113,0.003,0.046,1.227,-0.12,-2.832,4,1,3,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday,baseline,DP Feasibility,True,none,False,none,none,0.069,2433763.094,8.641,165.498,0.005,19,1.542,1.091,0.106,0.003,0.054,1.254,-0.092,-2.804,6,1,4,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.048,1455558.199,18.621,664.205,0.02,159,5.532,0.653,0.228,0.012,0.454,1.346,0.0,-2.712,2,4,5,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday,baseline,Operational Ensemble,True,none,False,none,none,0.075,2852336.13,5.849,3151.115,0.015,0,0.493,1.279,0.072,0.055,0.0,1.405,0.059,-2.653,7,5,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday,baseline,Simple Ensemble,True,none,False,none,none,0.075,2881817.402,7.018,3901.335,0.015,0,0.553,1.292,0.086,0.068,0.0,1.446,0.099,-2.613,8,6,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,471152.918,29.455,201373.427,0.197,0,2.337,0.211,0.361,3.487,0.0,4.059,2.712,0.0,1,8,8,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,markdown_heavy,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.033,2771954.257,27.796,887.717,0.008,378,5.532,0.54,0.141,0.013,0.455,1.15,0.0,-1.447,2,1,1,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,markdown_heavy,baseline,Global Best,True,none,False,none,none,0.054,5131615.701,19.689,6896.885,0.022,0,1.053,1.0,0.1,0.1,0.0,1.2,0.05,-1.396,5,6,2,global_best_model,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,markdown_heavy,baseline,Budgeted DP,True,none,False,none,none,0.054,5417599.275,22.228,1519.096,0.009,27,2.383,1.056,0.113,0.022,0.033,1.223,0.074,-1.373,4,3,3,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,markdown_heavy,baseline,DP Feasibility,True,none,False,none,none,0.054,5366712.339,23.039,1519.319,0.011,45,2.383,1.046,0.117,0.022,0.054,1.239,0.089,-1.357,3,4,4,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,markdown_heavy,baseline,Greedy Feasibility,True,none,False,none,none,0.055,5476698.433,23.535,1515.175,0.009,38,2.383,1.067,0.12,0.022,0.046,1.255,0.105,-1.342,7,2,5,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,markdown_heavy,baseline,Operational Ensemble,True,none,False,none,none,0.056,5873531.341,15.69,4936.498,0.023,0,1.031,1.145,0.08,0.072,0.0,1.296,0.146,-1.3,8,5,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,markdown_heavy,baseline,Simple Ensemble,True,none,False,none,none,0.055,5772229.904,19.067,8163.536,0.023,0,1.248,1.125,0.097,0.118,0.0,1.34,0.19,-1.256,6,7,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,markdown_heavy,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,1703808.794,43.839,140802.552,0.063,0,2.337,0.332,0.223,2.042,0.0,2.596,1.447,0.0,1,8,8,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday_or_markdown,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.037,3936430.047,39.33,894.409,0.01,507,5.532,0.564,0.15,0.007,0.441,1.162,0.0,-2.17,2,1,1,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday_or_markdown,baseline,Budgeted DP,True,none,False,none,none,0.058,7325834.828,28.48,1519.096,0.007,34,2.383,1.05,0.108,0.012,0.03,1.2,0.038,-2.132,4,3,2,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday_or_markdown,baseline,Global Best,True,none,False,none,none,0.058,6979417.984,26.304,12248.638,0.021,0,1.053,1.0,0.1,0.1,0.0,1.2,0.038,-2.132,5,7,3,global_best_model,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday_or_markdown,baseline,DP Feasibility,True,none,False,none,none,0.057,7320432.32,29.196,1519.319,0.009,63,2.383,1.049,0.111,0.012,0.055,1.227,0.065,-2.105,3,4,4,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday_or_markdown,baseline,Greedy Feasibility,True,none,False,none,none,0.058,7369352.031,30.3,1515.175,0.007,52,2.383,1.056,0.115,0.012,0.045,1.229,0.067,-2.103,6,2,5,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday_or_markdown,baseline,Operational Ensemble,True,none,False,none,none,0.06,8222608.763,20.628,8058.002,0.021,0,1.031,1.178,0.078,0.066,0.0,1.322,0.161,-2.009,8,5,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday_or_markdown,baseline,Simple Ensemble,True,none,False,none,none,0.06,8123692.535,25.041,12064.871,0.022,0,1.248,1.164,0.095,0.098,0.0,1.358,0.196,-1.974,7,6,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_plus_context,holiday_markdown_stress,holiday_or_markdown,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,2088018.438,67.527,340007.772,0.094,0,2.337,0.299,0.257,2.776,0.0,3.332,2.17,0.0,1,8,8,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.015,0.414,1.124,0.0,-0.35,2,1,1,oracle_dp_feasibility_selector,weekly_cadence_constraints
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.1,0.0,1.2,0.076,-0.275,3,5,2,global_best_model,weekly_cadence_constraints
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Budgeted DP,True,none,False,none,none,0.058,21051365.157,111.252,77726.4,0.017,118,4.143,1.037,0.092,0.097,0.027,1.253,0.128,-0.222,5,4,3,budgeted_dp_feasibility_selector,weekly_cadence_constraints
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.049,0.0,1.257,0.132,-0.218,8,2,4,operational_loss_ensemble,weekly_cadence_constraints
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.06,0.0,1.265,0.14,-0.21,7,3,5,simple_ensemble,weekly_cadence_constraints
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,DP Feasibility,True,none,False,none,none,0.058,20957913.234,111.816,97687.589,0.017,225,4.143,1.032,0.093,0.122,0.051,1.298,0.174,-0.177,4,6,6,dp_feasibility_selector,weekly_cadence_constraints
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Greedy Feasibility,True,none,False,none,none,0.059,21749818.252,119.061,128611.004,0.017,213,4.143,1.071,0.099,0.161,0.049,1.379,0.254,-0.096,6,7,7,greedy_feasibility_selector,weekly_cadence_constraints
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,0.952,0.0,1.475,0.35,0.0,1,8,8,oracle_realized_demand,weekly_cadence_constraints
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.1,0.0,1.2,-0.002,-0.699,3,4,1,global_best_model,weekly_cadence_constraints
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.467,1.202,0.0,-0.698,2,1,2,oracle_dp_feasibility_selector,weekly_cadence_constraints
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.066,0.0,1.286,0.084,-0.614,8,2,3,operational_loss_ensemble,weekly_cadence_constraints
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.081,0.0,1.299,0.097,-0.6,7,3,4,simple_ensemble,weekly_cadence_constraints
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Budgeted DP,True,none,False,none,none,0.058,20781310.84,108.51,87732.746,0.015,115,4.143,1.03,0.099,0.156,0.03,1.315,0.113,-0.585,5,5,5,budgeted_dp_feasibility_selector,weekly_cadence_constraints
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,DP Feasibility,True,none,False,none,none,0.058,20671384.576,110.431,129735.072,0.016,197,4.143,1.025,0.101,0.23,0.051,1.406,0.205,-0.493,4,7,6,dp_feasibility_selector,weekly_cadence_constraints
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Greedy Feasibility,True,none,False,none,none,0.059,21167717.077,116.864,127885.794,0.017,192,4.143,1.05,0.106,0.227,0.049,1.432,0.231,-0.467,6,6,7,greedy_feasibility_selector,weekly_cadence_constraints
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,1.354,0.0,1.899,0.698,0.0,1,8,8,oracle_realized_demand,weekly_cadence_constraints
